dim,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,terror,tavg
24,0.918,0.919,0.9176,0.9184,0.922,0.9282,0.929,0.9196,0.918,0.917,0.92068,1.74096E-005,0.92068
25,0.7874,0.7926,0.8094,0.7954,0.7908,0.8034,0.7934,0.8036,0.8034,0.805,0.79844,4.87984E-005,0.79844
26,0.7286,0.7202,0.7084,0.7154,0.7356,0.7226,0.7384,0.7306,0.7234,0.7248,0.7248,0.000073496,0.7248
27,0.6554,0.6588,0.6558,0.6768,0.665,0.6564,0.6528,0.6826,0.6744,0.6626,0.66406,9.72323999999999E-005,0.66406
28,0.612,0.6296,0.6004,0.602,0.629,0.622,0.6162,0.6476,0.6108,0.6192,0.61888,0.0001798256,0.61888
29,0.6084,0.5818,0.5524,0.586,0.5734,0.571,0.5596,0.575,0.5806,0.5808,0.5769,0.000207818,0.5769
30,0.5238,0.5476,0.5388,0.535,0.5434,0.524,0.5264,0.5396,0.517,0.5376,0.53332,8.87856E-005,0.53332
31,0.494,0.4924,0.5182,0.4888,0.5024,0.4912,0.521,0.5002,0.4876,0.4966,0.49924,0.0001234224,0.49924
32,0.4428,0.4522,0.4706,0.4748,0.4248,0.462,0.4894,0.4546,0.4506,0.4594,0.45812,0.0002878016,0.45812
33,0.4034,0.4576,0.4238,0.4292,0.4266,0.4102,0.4442,0.4144,0.4118,0.4026,0.42238,0.0002858356,0.42238
34,0.3776,0.4026,0.3964,0.3768,0.3894,0.398,0.3712,0.3758,0.384,0.4016,0.38734,0.0001246964,0.38734
35,0.3592,0.3736,0.3496,0.3846,0.3466,0.3644,0.3754,0.3478,0.3308,0.3458,0.35778,0.0002488836,0.35778
36,0.3688,0.3172,0.34,0.307,0.3272,0.3246,0.312,0.318,0.2992,0.3012,0.32152,0.0003862256,0.32152
37,0.3014,0.2922,0.3182,0.255,0.2966,0.2812,0.2796,0.2918,0.3042,0.3032,0.29234,0.0002708564,0.29234
38,0.2918,0.2422,0.2496,0.2758,0.2468,0.2824,0.2572,0.2736,0.2462,0.2434,0.2609,0.000301258,0.2609
39,0.2362,0.2294,0.2416,0.2494,0.2492,0.2544,0.2322,0.2452,0.2388,0.241,0.24174,5.69763999999999E-005,0.24174
40,0.2312,0.1964,0.2066,0.2034,0.2158,0.234,0.1888,0.1846,0.1798,0.2188,0.20594,0.0003218404,0.20594
41,0.2184,0.209,0.1928,0.174,0.2004,0.1922,0.2076,0.2002,0.2074,0.197,0.1999,0.000132986,0.1999
42,0.1674,0.1724,0.1644,0.1822,0.1776,0.1844,0.2002,0.1604,0.1638,0.1742,0.1747,0.000129722,0.1747
43,0.1572,0.139,0.1648,0.1514,0.1528,0.1342,0.149,0.1538,0.1528,0.1378,0.14928,8.18256E-005,0.14928
44,0.1228,0.1356,0.103,0.156,0.1364,0.1378,0.1384,0.13,0.1326,0.107,0.12996,0.0002196304,0.12996
45,0.1066,0.1258,0.0956,0.1138,0.1242,0.1162,0.1442,0.1192,0.094,0.1114,0.1151,0.000197522,0.1151
46,0.0896,0.1074,0.1232,0.0998,0.1224,0.103,0.106,0.091,0.0998,0.1202,0.10624,0.0001347664,0.10624
47,0.075,0.0936,0.0718,0.08,0.0734,0.0836,0.1078,0.0804,0.0858,0.0918,0.08432,0.0001092976,0.08432
48,0.059,0.0628,0.0816,0.0948,0.0896,0.068,0.075,0.0774,0.0762,0.0858,0.07702,0.0001185636,0.07702
49,0.0676,0.0616,0.0618,0.0684,0.07,0.0608,0.0666,0.0578,0.0644,0.0578,0.06368,1.71936E-005,0.06368
50,0.0566,0.065,0.0534,0.0552,0.0654,0.0552,0.0542,0.0634,0.0606,0.056,0.0585,0.000019442,0.0585
51,0.0428,0.0438,0.0618,0.0548,0.0466,0.0608,0.0474,0.045,0.046,0.0446,0.04936,4.53584E-005,0.04936
52,0.0316,0.0472,0.049,0.035,0.0468,0.0552,0.0422,0.0444,0.0434,0.042,0.04368,4.10016E-005,0.04368
53,0.0442,0.0314,0.0362,0.0382,0.0394,0.04,0.0412,0.0398,0.0372,0.043,0.03906,1.19124E-005,0.03906
54,0.0396,0.034,0.0288,0.0228,0.0358,0.0288,0.0238,0.0372,0.037,0.0282,0.0316,0.000031344,0.0316
55,0.0288,0.0324,0.0342,0.0282,0.0272,0.024,0.031,0.0288,0.0268,0.0322,0.02936,8.5344E-006,0.02936
56,0.0242,0.0192,0.0198,0.0276,0.0296,0.0174,0.0274,0.0288,0.0206,0.017,0.02316,2.16704E-005,0.02316
57,0.02,0.0198,0.0214,0.022,0.0196,0.0186,0.0188,0.017,0.0172,0.0246,0.0199,0.000004746,0.0199
58,0.0178,0.0194,0.0156,0.0196,0.0186,0.022,0.021,0.0188,0.0178,0.0178,0.01884,2.9344E-006,0.01884
59,0.0224,0.0184,0.0158,0.0118,0.0166,0.01,0.0118,0.0178,0.0148,0.0242,0.01636,1.89024E-005,0.01636
60,0.01,0.0122,0.0088,0.017,0.0152,0.0202,0.0152,0.0112,0.016,0.016,0.01418,1.12116E-005,0.01418
61,0.01,0.0144,0.0102,0.0112,0.0124,0.0084,0.0108,0.0146,0.0096,0.0102,0.01118,3.7236E-006,0.01118
62,0.0072,0.0066,0.0136,0.0112,0.008,0.0084,0.0104,0.0082,0.0088,0.0136,0.0096,0.000005656,0.0096
63,0.0092,0.0086,0.0062,0.0078,0.0106,0.0064,0.0094,0.0078,0.0076,0.0064,0.008,0.000001912,0.008
64,0.0082,0.0072,0.006,0.0096,0.0098,0.009,0.0042,0.0104,0.0064,0.0106,0.00814,4.0804E-006,0.00814
65,0.0076,0.003,0.007,0.008,0.0038,0.0064,0.006,0.005,0.0044,0.0048,0.0056,0.000002496,0.0056
66,0.0054,0.0064,0.0062,0.0052,0.0044,0.0066,0.0044,0.0062,0.0042,0.0054,0.00544,7.184E-007,0.00544
67,0.0056,0.0054,0.0054,0.0058,0.0052,0.0042,0.0038,0.0028,0.004,0.0032,0.00454,1.0404E-006,0.00454
68,0.002,0.0056,0.005,0.005,0.0046,0.0024,0.0042,0.0056,0.0052,0.0032,0.00428,1.5376E-006,0.00428
69,0.0028,0.0038,0.004,0.0064,0.0026,0.0034,0.0034,0.0036,0.0034,0.0022,0.00356,1.1744E-006,0.00356
70,0.0018,0.002,0.002,0.0038,0.0042,0.002,0.003,0.0024,0.0024,0.0034,0.0027,0.00000065,0.0027
71,0.003,0.0022,0.0014,0.002,0.0016,0.001,0.002,0.001,0.0024,0.002,0.00186,3.524E-007,0.00186
72,0.0018,0.0036,0.002,0.0018,0.0032,0.0026,0.0032,0.0012,0.0016,0.0022,0.00232,5.696E-007,0.00232
73,0.002,0.002,0.0026,0.0008,0.001,0.0002,0.002,0.0026,0.0018,0.0016,0.00166,5.444E-007,0.00166
74,0.0006,0.002,0.0014,0.0016,0.0008,0.0012,0.0018,0.0014,0.0006,0.001,0.00124,2.144E-007,0.00124
75,0.0012,0.0016,0.0012,0.0014,0.001,0.0014,0.0008,0.001,0.0006,0.0014,0.00116,8.64E-008,0.00116
76,0.0006,0.0012,0.0016,0.0014,0.001,0.001,0.0006,0.0024,0.0016,0.0008,0.00122,2.756E-007,0.00122
77,0.0012,0.0006,0.0008,0.0018,0.0008,0.0014,0.0002,0.0008,0.0022,0.0014,0.00112,3.216E-007,0.00112
78,0.0012,0.0014,0.0006,0.001,0.001,0.0012,0.0004,0.0004,0.0008,0.0008,0.00088,1.056E-007,0.00088
79,0.0004,0.0008,0.0004,0.0008,0.001,0.0006,0.0014,0.0012,0.001,0.0006,0.00082,9.96E-008,0.00082
80,0.0004,0.0012,0.0006,0.0014,0.0004,0.0008,0.0006,0.0008,0.001,0.0006,0.00078,9.96E-008,0.00078
81,0.0004,0.0006,0.0004,0.0004,0.0008,0.0012,0.0004,0.0006,0.0008,0.0006,0.00062,5.96E-008,0.00062
82,0.0002,0.0008,0.001,0.0002,0.0004,0.0004,0.0004,0.0006,0.001,0.001,0.0006,0.000000096,0.0006
83,0.0002,0.0008,0.0012,0.0006,0.0002,0.0006,0.0006,0.0004,0.0002,0.0004,0.00052,8.96E-008,0.00052
84,0.0002,0.001,0.0004,0.0008,0.0006,0.0006,0.0008,0.0006,0.0006,0.0004,0.0006,0.000000048,0.0006
85,0.0004,0.0004,0.0002,0.0004,0.0004,0.0002,0.0002,0.0004,0.0004,0.0004,0.00034,8.4E-009,0.00034
86,0.0004,0.0002,0.0002,0.0004,0.0014,0.0002,0.0004,0.0002,0.0004,0.0006,0.00044,1.184E-007,0.00044
87,0.0004,0.0006,0.0004,0.0002,0.0008,0.0002,0.001,0.0002,0.0002,0.0002,0.00042,7.56E-008,0.00042
88,0.0006,0.0004,0.0006,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.00034,2.44E-008,0.00034
89,0.0006,0.0002,0.0002,0.0008,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.00032,4.16E-008,0.00032
90,0.0002,0.0004,0.0004,0.001,0.0002,0.0006,0.0008,0.0004,0.0008,0.0006,0.00054,6.44E-008,0.00054
91,0.0004,0.001,0.0008,0.0004,0.0002,0.0016,0.0006,0.0002,0.0002,0.0006,0.0006,0.000000176,0.0006
92,0.0004,0.0008,0.0002,0.0006,0.0004,0.0002,0.0004,0.001,0.0008,0.0002,0.0005,0.000000074,0.0005
93,0.0004,0.0002,0.0002,0.0014,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.00036,1.264E-007,0.00036
94,0.0002,0.0006,0.0004,0.0002,0.0008,0.0006,0.0002,0.0006,0.0002,0.0004,0.00042,4.36E-008,0.00042
95,0.0002,0.0014,0.0002,0.0002,0.0006,0.0006,0.0002,0.0002,0.0004,0.0002,0.00042,1.316E-007,0.00042
96,0.0006,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0022,0.00044,3.584E-007,0.00044
97,0.0002,0.001,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0002,0.0004,0.00032,5.76E-008,0.00032
98,0.0002,0.0002,0.0002,0.0002,0.001,0.0002,0.0008,0.0002,0.0002,0.0008,0.0004,0.000000096,0.0004
99,0.0006,0.0004,0.0006,0.0006,0.001,0.0002,0.0004,0.0002,0.0004,0.0002,0.00046,5.64E-008,0.00046
100,0.0004,0.0002,0.0002,0.0006,0.0002,0.001,0.0006,0.0008,0.0006,0.0002,0.00048,7.36E-008,0.00048
101,0.0004,0.0002,0.0002,0.0002,0.0008,0.0006,0.0006,0.0006,0.0002,0.0002,0.0004,0.000000048,0.0004
102,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.00022,3.6E-009,0.00022
103,0.0002,0.0004,0.0004,0.0004,0.0002,0.0004,0.0002,0.0002,0.0012,0.0002,0.00038,8.36E-008,0.00038
104,0.0002,0.0002,0.0002,0.0002,0.0008,0.0002,0.0004,0.0002,0.0004,0.0002,0.0003,0.000000034,0.0003
105,0.0004,0.0008,0.0002,0.0002,0.0002,0.0002,0.0002,0.0006,0.0002,0.0004,0.00034,4.04E-008,0.00034
106,0.0004,0.0012,0.0004,0.0002,0.0002,0.0002,0.0006,0.0008,0.0002,0.0004,0.00046,9.64E-008,0.00046
107,0.0002,0.0004,0.0002,0.0002,0.0008,0.0002,0.0004,0.0002,0.0002,0.0006,0.00034,4.04E-008,0.00034
108,0.0008,0.0004,0.0006,0.0008,0.0008,0.0002,0.0004,0.0004,0.0006,0.0002,0.00052,4.96E-008,0.00052
109,0.0002,0.0006,0.0004,0.0002,0.0002,0.0006,0.001,0.0004,0.0002,0.0002,0.0004,0.000000064,0.0004
110,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.00022,3.6E-009,0.00022
111,0.0008,0.0008,0.0006,0.0004,0.0006,0.0002,0.0002,0.0002,0.0002,0.0004,0.00044,5.44E-008,0.00044
112,0.0002,0.0004,0.0008,0.0002,0.0006,0.0004,0.0002,0.0008,0.0012,0.0002,0.0005,0.000000106,0.0005
113,0.0002,0.0004,0.0002,0.0002,0.0002,0.0006,0.0004,0.0006,0.0004,0.0004,0.00036,2.24E-008,0.00036
114,0.0004,0.0006,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0004,0.0003,0.000000018,0.0003
115,0.0002,0.0014,0.0002,0.0002,0.0002,0.0002,0.0004,0.0004,0.0002,0.0004,0.00038,1.236E-007,0.00038
116,0.0002,0.0002,0.0004,0.0004,0.0004,0.0008,0.0002,0.0006,0.0006,0.0004,0.00042,3.56E-008,0.00042
117,0.0008,0.0002,0.0002,0.0004,0.0004,0.0004,0.0002,0.0002,0.0004,0.0002,0.00034,3.24E-008,0.00034
