Variance,Dim
0.00001,1.0
0.00001,1.0
0.00001,1.0
0.1,5.0
0.1,5.0
0.1,5.0
0.18,5.0
0.18,3.0
0.18,3.0
0.26,3.0
0.26,3.0
0.26,5.0
0.34,3.0
0.34,5.0
0.34,5.0
0.42,5.0
0.42,5.0
0.42,5.0
0.5,5.0
0.5,7.0
0.5,7.0
0.58,7.0
0.58,7.0
0.58,7.0
0.66,9.0
0.66,9.0
0.66,7.0
0.74,11.0
0.74,7.0
0.74,9.0
0.82,9.0
0.82,9.0
0.82,9.0
0.9,13.0
0.9,17.0
0.9,13.0
0.98,15.0
0.98,11.0
0.98,15.0
1.06,17.0
1.06,13.0
1.06,15.0
1.14,19.0
1.14,17.0
1.14,15.0
1.22,21.0
1.22,17.0
1.22,23.0
1.3,21.0
1.3,23.0
1.3,23.0
1.38,31.0
1.38,25.0
1.38,29.0
1.46,31.0
1.46,27.0
1.46,31.0
1.54,25.0
1.54,33.0
1.54,43.0
1.62,39.0
1.62,41.0
1.62,33.0
1.7,39.0
1.7,35.0
1.7,39.0
1.78,41.0
1.78,43.0
1.78,49.0
1.86,53.0
1.86,59.0
1.86,47.0
1.94,63.0
1.94,67.0
1.94,53.0
