k,n,d,var,dim,NNPerf,KMeans,Simple,mproj rand,mproj avg,KMeans Time,SimpleTime,mproj rand Time,mproj avg Time
30,10000,5000,0.3,24,1,0.9,0.6,1,0.9,1.2828974,0.81698304,2.8429313,2.7463574
32,10000,5000,0.3,24,1,0.84375,0.6875,0.9375,0.90625,1.6812054,1.0746843,3.8463128,2.6875737
34,10000,5000,0.3,24,1,0.88235295,0.64705884,0.9705882,0.9117647,1.3524448,0.9217201,3.228986,2.9178908
36,10000,5000,0.3,24,1,0.9166667,0.6111111,0.9722222,0.9722222,1.3529568,0.8560818,3.083301,2.9694757
38,10000,5000,0.3,24,1,0.92105263,0.6052632,0.94736844,0.94736844,1.3890728,0.9522844,3.2039309,2.7240133
40,10000,5000,0.3,24,1,0.875,0.65,0.95,0.95,1.3996004,0.88128185,3.0655177,2.692683
42,10000,5000,0.3,24,1,0.9285714,0.5952381,0.9285714,0.9047619,1.2884924,0.8598506,3.053526,2.9591749
44,10000,5000,0.3,24,1,0.84090906,0.6363636,0.95454544,0.95454544,1.4181663,0.87409896,3.031828,3.0767624
46,10000,5000,0.3,24,1,0.9130435,0.6956522,0.9782609,0.95652175,1.320551,0.91470504,2.831393,2.8496144
48,10000,5000,0.3,24,1,0.9166667,0.6875,0.9583333,1,1.2921262,1.0045298,3.3437302,2.9657981
50,10000,5000,0.3,24,1,0.96,0.64,0.94,0.94,1.2684196,0.8902868,3.4422824,3.0271688
52,10000,5000,0.3,24,1,0.88461536,0.65384614,0.96153843,0.96153843,1.4920971,0.91918725,3.307094,3.2343209
54,10000,5000,0.3,24,1,0.8703704,0.5555556,0.9074074,0.962963,1.4015292,0.9060644,3.196464,3.2213929
56,10000,5000,0.3,24,1,0.9464286,0.625,0.96428573,0.98214287,1.2139604,0.89481765,3.485421,3.0710897
58,10000,5000,0.3,24,1,0.8965517,0.6551724,0.98275864,0.9310345,1.3428936,1.0298299,4.9071994,2.6662774
60,10000,5000,0.3,24,1,0.8833333,0.7,0.95,0.98333335,1.335927,0.86464524,3.8156462,3.2271807
62,10000,5000,0.3,24,1,0.91935486,0.61290324,0.9677419,0.9516129,1.2434598,0.85409486,4.3482933,3.3030546
64,10000,5000,0.3,24,1,0.875,0.53125,0.96875,0.9375,1.299374,0.9326891,3.3475132,3.196239
66,10000,5000,0.3,24,1,0.92424244,0.77272725,0.969697,0.95454544,1.3423427,1.2859509,3.8335254,3.4097817
68,10000,5000,0.3,24,1,0.9117647,0.5588235,0.9264706,0.9852941,1.4585856,0.919884,3.63201,3.3190224
70,10000,5000,0.3,24,1,0.9142857,0.62857145,0.9714286,0.94285715,1.3566731,0.8936016,3.3857203,3.613979
72,10000,5000,0.3,24,1,0.9444444,0.6527778,0.9166667,0.9583333,1.2197905,0.86124015,3.30443,3.6709497
74,10000,5000,0.3,24,1,0.9054054,0.6486486,0.9459459,0.9459459,1.2839768,0.8775884,3.7559721,2.9844522
76,10000,5000,0.3,24,1,0.90789473,0.6184211,0.9605263,0.94736844,1.3300891,0.8812029,3.4466965,4.024042
78,10000,5000,0.3,24,1,0.9358974,0.6923077,0.9358974,0.94871795,1.2870729,0.87457997,3.4938817,4.103301
