k,n,d,var,dim,NNPerf,KMeans,Simple,mproj rand,mproj avg,KMeans Time,SimpleTime,mproj rand Time,mproj avg Time
30,10000,5000,0.3,24,1,0.93333334,0.73333335,0.9,0.96666664,1.107345,0.80956197,2.6853864,2.8698735
30,15000,5000,0.3,24,1,0.93333334,0.76666665,0.9,0.96666664,1.7418897,1.2121501,3.9094603,4.218054
30,20000,5000,0.3,24,1,0.96666664,0.8333333,0.96666664,1,2.3698835,1.6082709,5.10758,5.823817
30,25000,5000,0.3,24,1,0.93333334,0.76666665,0.96666664,0.96666664,3.3362463,2.0322914,6.4478602,6.638933
30,30000,5000,0.3,24,1,0.96666664,0.73333335,0.96666664,0.9,3.5840266,2.4063237,7.8745747,8.127631
30,35000,5000,0.3,24,1,0.9,0.6666667,0.96666664,0.9,4.5734878,2.8028412,9.096629,10.953649
30,40000,5000,0.3,24,1,0.93333334,0.8,0.93333334,0.9,5.4991136,3.2217522,10.244895,10.635716
30,45000,5000,0.3,24,1,0.9,0.7,0.93333334,1,6.2554817,3.6057024,11.520497,12.16487
30,50000,5000,0.3,24,1,0.8666667,0.76666665,0.9,0.96666664,7.0514026,4.0121408,13.045099,13.140854
30,55000,5000,0.3,24,1,0.9,0.73333335,0.96666664,1,8.896144,4.824726,16.348751,14.359089
30,60000,5000,0.3,24,1,0.9,0.76666665,0.8666667,0.96666664,9.001312,5.04623,17.588428,19.114779
30,65000,5000,0.3,24,1,0.9,0.8333333,0.9,0.93333334,11.660753,5.558051,20.077599,18.08726
30,70000,5000,0.3,24,1,0.9,0.6333333,0.9,0.93333334,10.676566,5.770634,18.80017,18.77374
30,75000,5000,0.3,24,1,0.8666667,0.73333335,0.96666664,0.96666664,12.4672165,6.092817,20.140148,20.033663
30,80000,5000,0.3,24,1,0.8666667,0.6666667,0.8666667,0.93333334,18.71073,6.681241,21.23963,22.472528
30,85000,5000,0.3,24,1,0.93333334,0.6666667,0.96666664,0.93333334,14.304193,7.146362,25.583178,23.927431
30,90000,5000,0.3,24,1,0.8666667,0.73333335,0.93333334,0.96666664,16.050385,7.6200204,26.21733,24.344383
